trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-225.21981813987492,"{0: 10, 1: 6, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.82015371731774,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.11663813304241,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.78482859874474,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.42502852563547,"{0: 8, 1: 4, 2: 10, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.88907583694234,"{0: 8, 1: 1, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.0762653153286,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.5201480218743,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.88872833467344,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.04343136929643,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.08181478626832,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.15837534829902,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,10,-35.4769392957501,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.91305217300022,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.0654590258834,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.13699906117728,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.92386892986997,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.84049583376662,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.18306425195564,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.99865091253088,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-221.271731697251,"{0: 12, 1: 5, 2: 9, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.58753841907884,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,1,-148.09431718160099,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.28922925117733,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.32767839279232,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.06090736858522,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-340.98584948925804,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 7}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.46843597972688,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.2695493077671,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-197.19760594622642,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
