trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.6193053753684,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.52192174526057,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-300.4966518677907,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.793946655969,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.42805347252103,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.1911715316199,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.16459177704812,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.69859830165842,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.96418807356478,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.41596625551027,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.04596369788823,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.41409874936973,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.04712812306389,"{0: 7, 1: 9, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.91027379400245,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.04732175528045,"{0: 7, 1: 2, 2: 9, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.92912050791698,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.99628419755335,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,5,-138.56277636809676,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.0664956737156,"{0: 12, 1: 7, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.7703015873392,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.35994229456719,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.0274959414274,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.8430621208998,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.09595400097922,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.86323881740313,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.31495139815817,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.2162210564477,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.59979410072486,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.9249626742513,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-186.0522826808144,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
